Price,Close,High,Low,Open,Volume
Ticker,AMZN,AMZN,AMZN,AMZN,AMZN
Datetime,,,,,
2022-05-02 13:30:00+00:00,122.56117248535156,122.75,118.375,122.70050048828125,2594849
2022-05-02 14:30:00+00:00,120.85099792480469,123.25,120.43449401855469,122.5716552734375,896117
2022-05-02 15:30:00+00:00,121.25875091552734,121.5469970703125,120.0,120.94224548339844,623883
2022-05-02 16:30:00+00:00,120.12445068359375,121.8499984741211,119.76350402832031,121.28399658203125,564569
2022-05-02 17:30:00+00:00,120.58477783203125,121.93900299072266,120.10699462890625,120.15150451660156,550920
2022-05-02 18:30:00+00:00,122.31099700927734,122.54949951171875,120.12049865722656,120.45999908447266,884354
2022-05-02 19:30:00+00:00,124.46150207519531,124.66825103759766,122.36650085449219,122.36650085449219,995646
2022-05-03 13:30:00+00:00,124.64900207519531,126.22049713134766,123.0009994506836,124.05350494384766,1159909
2022-05-03 14:30:00+00:00,125.13874816894531,125.5510025024414,123.6395034790039,124.68299865722656,530165
2022-05-03 15:30:00+00:00,123.5530014038086,125.3270034790039,123.20149993896484,125.13874816894531,418442
2022-05-03 16:30:00+00:00,124.51739501953125,124.9000015258789,123.21549987792969,123.5530014038086,342159
2022-05-03 17:30:00+00:00,123.4020004272461,125.0987548828125,123.28399658203125,124.51200103759766,353893
2022-05-03 18:30:00+00:00,123.7509994506836,124.22869873046875,122.82499694824219,123.42524719238281,486526
2022-05-03 19:30:00+00:00,124.2979965209961,124.43050384521484,123.31800842285156,123.77799987792969,387270
2022-05-04 13:30:00+00:00,120.364501953125,123.7354965209961,119.18299865722656,123.5999984741211,1127471
2022-05-04 14:30:00+00:00,120.04949951171875,120.86924743652344,119.47049713134766,120.42240905761719,600022
2022-05-04 15:30:00+00:00,122.1500015258789,122.19100189208984,119.37800598144531,120.0425033569336,520835
2022-05-04 16:30:00+00:00,121.79399108886719,122.69950103759766,121.36656188964844,122.14825439453125,468091
2022-05-04 17:30:00+00:00,121.62800598144531,123.593994140625,120.5999984741211,121.89225006103516,625239
2022-05-04 18:30:00+00:00,125.22750091552734,125.49119567871094,119.62850189208984,121.75,1193350
2022-05-04 19:30:00+00:00,125.93800354003906,126.0,124.8499984741211,125.20450592041016,683141
2022-05-05 13:30:00+00:00,118.14250183105469,123.4990005493164,117.67850494384766,123.0,1806668
2022-05-05 14:30:00+00:00,116.6939926147461,118.23649597167969,115.75,118.05000305175781,1171479
2022-05-05 15:30:00+00:00,117.32499694824219,117.78275299072266,116.33149719238281,116.64900207519531,802420
2022-05-05 16:30:00+00:00,117.03399658203125,117.75,116.5,117.25,566803
2022-05-05 17:30:00+00:00,115.85050201416016,117.4074935913086,115.7969970703125,116.92549896240234,611250
2022-05-05 18:30:00+00:00,115.31550598144531,116.85400390625,115.12049865722656,115.88199615478516,732567
2022-05-05 19:30:00+00:00,116.4074935913086,116.5999984741211,115.07249450683594,115.30149841308594,1052755
2022-05-06 13:30:00+00:00,115.0770034790039,116.87349700927734,113.18289947509766,114.8499984741211,1825952
2022-05-06 14:30:00+00:00,117.92049407958984,119.05049896240234,114.74800109863281,115.12001037597656,1003821
2022-05-06 15:30:00+00:00,116.26399993896484,118.17924499511719,115.43000793457031,117.9217529296875,607023
2022-05-06 16:30:00+00:00,115.48500061035156,116.9749984741211,115.187255859375,116.34849548339844,490281
2022-05-06 17:30:00+00:00,114.25887298583984,115.78900146484375,113.8030014038086,115.49849700927734,517572
2022-05-06 18:30:00+00:00,113.73274993896484,114.87249755859375,113.08125305175781,114.24949645996094,680644
2022-05-06 19:30:00+00:00,114.74549865722656,115.89399719238281,113.781005859375,113.8280029296875,695721
2022-05-09 13:30:00+00:00,111.83900451660156,113.85050201416016,111.02249908447266,111.3125,1441656
